제품,상세설명,구매LINK,catalog down,보호종류,제품군,통신여부,통신종류,내장 ZCT,과전류/저전류,결상,역상,누설(지락),단락,과전압/저전압,전력,,,,,,,,
3MZ2-WRCBHZ,EOCR-3MZ2 WR 1A1B 24V Bottom,https://smartstore.naver.com/htengineering/products/11687531036,https://blog.naver.com/ht-eng/223827535805,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
3MZ2-WRCBTZ,EOCR-3MZ2 WR 1A1B 24V Terminal,X,https://blog.naver.com/ht-eng/223827535805,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
3MZ2-WRCBWZ,EOCR-3MZ2 WR 1A1B 24V Window,https://smartstore.naver.com/htengineering/products/11687539056,https://blog.naver.com/ht-eng/223827535805,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
3MZ2-WRCUHZ,EOCR-3MZ2 WR 1A1B 100~240V Bot,https://smartstore.naver.com/htengineering/products/11687546032,https://blog.naver.com/ht-eng/223827535805,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
3MZ2-WRCUTZ,EOCR-3MZ2 WR 1A1B 100~240V Ter,X,https://blog.naver.com/ht-eng/223827535805,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
3MZ2-WRCUWZ,EOCR-3MZ2 WR 1A1B 100~240V Win,https://smartstore.naver.com/htengineering/products/11687552662,https://blog.naver.com/ht-eng/223827535805,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
3MZ2-WRDBHZ,EOCR-3MZ2 WR B-A 24V Bottom,https://smartstore.naver.com/htengineering/products/11687559002,https://blog.naver.com/ht-eng/223827535805,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
3MZ2-WRDBTZ,EOCR-3MZ2 WR B-A 24V Terminal,X,https://blog.naver.com/ht-eng/223827535805,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
3MZ2-WRDBWZ,EOCR-3MZ2 WR B-A 24V Window,X,https://blog.naver.com/ht-eng/223827535805,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
3MZ2-WRDUHZ,EOCR-3MZ2 WR B-A 100~240V Bott,X,https://blog.naver.com/ht-eng/223827535805,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
3MZ2-WRDUTZ,EOCR-3MZ2 WR B-A 100~240V Term,X,https://blog.naver.com/ht-eng/223827535805,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
3MZ2-WRDUWZ,EOCR-3MZ2 WR B-A 100~240V Wind,X,https://blog.naver.com/ht-eng/223827535805,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
CABLE-RJ45-001,CABLE-RJ45 1M,https://smartstore.naver.com/htengineering/products/11697533734,X,모든조건,Accessory,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,,,,,,,,
CABLE-RJ45-002,CABLE-RJ45 2M,https://smartstore.naver.com/htengineering/products/11697533734,X,모든조건,Accessory,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,,,,,,,,
CABLE-RJ45-003,CABLE-RJ45 3M,https://smartstore.naver.com/htengineering/products/11697533734,X,모든조건,Accessory,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,,,,,,,,
CABLE-RJ45-004,CABLE-RJ45 4M,https://smartstore.naver.com/htengineering/products/11697533734,X,모든조건,Accessory,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,,,,,,,,
